"Term","Estimate","Std_Error","t_value","p_value"
"(Intercept)",12.7142817359264,0.516033574893784,24.6384777163838,6.86073049208056e-132
"Danceability",0.373165845481459,0.151510246491661,2.46297431442697,0.0137881198932357
"Energy",-0.17479428971983,0.0807938496653798,-2.16346034312968,0.0305186958554745
"Speechiness",-2.31390694762596,0.115094880078963,-20.104343008468,6.1696730715981e-89
"Acousticness",-0.509656522363547,0.0569121954418183,-8.95513726727643,3.71195280365628e-19
"Instrumentalness",-0.940947162436875,0.0677577283348294,-13.8869349011691,1.26583411273999e-43
"Liveness",-0.363823717591455,0.0734691813993995,-4.9520589539933,7.40866174663339e-07
"Valence",-0.37569264389112,0.0589430190423433,-6.37382763888004,1.88774175606285e-10
"Tempo",0.00187769976834159,0.000411463009791819,4.5634716211589,5.06417745099392e-06
"ln_Duration",0.406596305185436,0.0401304354014714,10.1318687703679,4.61783308734619e-24
"official_videoHas_MV",-0.0904010717173374,0.113105788397113,-0.799261231440607,0.424149330577854
"LicensedLicensed",0.264727072916167,0.0455121713798946,5.81662146388192,6.10501594545315e-09
"Danceability:official_videoHas_MV",0.281675577186113,0.164189366394534,1.71555310414725,0.0862608006110644
