"Term","Estimate","Std_Error","t_value","p_value"
"(Intercept)",12.607317540574,0.512280233085678,24.6101971661777,1.34732592737453e-131
"Danceability",0.583106885960952,0.0893338064331853,6.5272813198335,6.87327109035595e-11
"Energy",-0.178175143547283,0.0807741007204892,-2.20584496711193,0.0274072413428501
"Speechiness",-2.3183498638926,0.115071850022059,-20.1469765494182,2.65918935459523e-89
"Acousticness",-0.507876269117641,0.0569057557844629,-8.92486642372839,4.87582302926395e-19
"Instrumentalness",-0.938039099641944,0.0677401184493326,-13.84761528493,2.17725534447033e-43
"Liveness",-0.364870315158809,0.0734705498320297,-4.96621184941429,6.88883950407144e-07
"Valence",-0.374137938915823,0.058939181692908,-6.34786449640923,2.23458446708466e-10
"Tempo",0.00187276307265444,0.00041147479696892,4.55134333001662,5.36475417179467e-06
"ln_Duration",0.405022595719606,0.0401220803174149,10.0947556187361,6.73116791901329e-24
"official_videoHas_MV",0.0839380285632426,0.0496589631677757,1.69028959142085,0.0909896010991612
"LicensedLicensed",0.262993658055458,0.0455033702449667,5.77965229036082,7.60724206218839e-09
