"","Res.Df","RSS","Df","Sum of Sq","F","Pr(>F)"
"1",19081,45331.2322028823,NA,NA,NA,NA
"2",19079,44650.0011661701,2,681.231036712248,145.545426763399,1.85256547446e-63
