"response","model","n","r_squared","adj_r_squared","AIC","BIC"
"ln_Stream","M0 Audio only",19092,0.0533758399657401,0.052929365935748,72214.1010413534,72300.5283128128
"ln_Stream","M1 Audio + Time",19092,0.124993669817435,0.124535095146201,70714.113941241,70808.3982373785
"ln_Stream","M2 Audio + Time + Media",19092,0.138143135218514,0.137601058465152,70429.0245174834,70539.0228629771
"ln_Stream","M3 Interaction",19092,0.138196538274555,0.137609294066439,70429.8414872418,70547.6968574137
"ln_Views","M0 Audio only",19631,0.124992772961704,0.124591413956386,93180.2465342193,93266.9800517318
"ln_Views","M1 Audio + Time",19631,0.195417516118475,0.195007433303041,91535.0356987056,91629.6540814465
"ln_Views","M2 Audio + Time + Media",19631,0.321279580946415,0.320864419103789,88199.5238284082,88309.9119416059
"ln_Views","M3 Interaction",19631,0.322037435845061,0.32158815647849,88179.591731895,88297.8647103211
