"","Res.Df","RSS","Df","Sum of Sq","F","Pr(>F)"
"1",19618,102583.407942956,NA,NA,NA,NA
"2",19617,102468.863962774,1,114.543980182192,21.9287027525785,2.84864335229902e-06
