"row_id","cooks_distance","leverage","studentized_residual"
5159,0.00777011725948993,0.00453594101895098,-4.71091888612903
5162,0.00744341716744512,0.00423273654357946,-4.77390775008306
5153,0.00698129242398122,0.00473831665548496,-4.36819367047268
5154,0.00668124278159402,0.00406819773167462,-4.61365202878362
5160,0.00658518212594569,0.00424198021711984,-4.48503268662982
5156,0.00655737253536272,0.00440975376825723,-4.38912073667204
5157,0.00653262057838146,0.00413682863782287,-4.52379470669958
5155,0.00634687760761803,0.00409299374058473,-4.4828873608013
5161,0.00609876696437573,0.00388287474236814,-4.51223224806461
5158,0.00601726158912198,0.00392348951971039,-4.45857407511519
12322,0.00382057342151003,0.00577838832372466,-2.92388368252043
13411,0.00369646523196242,0.00485166077355297,-3.14025211270932
13412,0.00320656132804047,0.00396618947521755,-3.23630586792488
13416,0.0031641417924428,0.00405406126354259,-3.17962596103092
13413,0.00313101813770692,0.00413986893798959,-3.12982770876157
1993,0.0030396457923266,0.00456643430104002,-2.93553578345913
1997,0.00301223721019309,0.00428736009770816,-3.0163410267358
1989,0.00298429948033028,0.00522742992832295,-2.71758621106622
1996,0.00298320585951436,0.00405885840852491,-3.08549697929297
1994,0.00286324725173681,0.00436251626325444,-2.91520109409369
