"term","Estimate","Std. Error","t value","Pr(>|t|)","exp_beta"
"(Intercept)",-11.1055765425767,0.708408211047901,-15.6768038108268,4.7051682476777e-55,1.50282838466727e-05
"Danceability",2.44741935998111,0.220837802786702,11.0824294079079,1.85461781364126e-28,11.5584799222281
"Energy",1.25266963944292,0.112852329238697,11.1000778441477,1.52439678970354e-28,3.49967336355901
"Speechiness",-1.50955472528824,0.15642694763488,-9.65022170484158,5.48917549371336e-22,0.221008365489253
"Acousticness",0.155796754981183,0.0795482488250335,1.95851897788295,0.0501832951650219,1.16858866912584
"Instrumentalness",-2.07099126778586,0.0936165836122528,-22.1220556003584,3.9518552787589e-107,0.126060759779942
"Liveness",-0.271698669577204,0.101882133763439,-2.66679406428672,0.00766414039189883,0.762083865548107
"Valence",-0.796280767509769,0.0822616651614895,-9.67985228534547,4.11552246774039e-22,0.451003234569929
"Tempo",0.0047344780974737,0.000567545225694271,8.34202788276841,7.78015529489532e-17,1.0047457034473
"ln_Duration",0.779546548484147,0.05517304516119,14.1291195040381,4.18230072212633e-45,2.18048329783401
"ln_Days",1.69006666577511,0.0326261964226769,51.8009100380585,0,5.41984201105634
"official_videoOfficial_Video",1.42015074611154,0.160815948549975,8.83090737527327,1.1239580733929e-18,4.13774414207986
"LicensedLicensed",0.416422810768256,0.0619110659389874,6.72614506716191,1.79017895799102e-11,1.51652693725513
"Danceability:official_videoOfficial_Video",1.10021319143708,0.234947256157306,4.68280927997065,2.84864335229789e-06,3.00480655469371
