"term","Estimate","Std. Error","t value","Pr(>|t|)","exp_beta"
"(Intercept)",-11.5995393397622,0.700884269523249,-16.5498639991627,4.16630357021255e-61,9.17031116111071e-06
"Danceability",3.30222632886209,0.124356024112453,26.554614884406,1.12633074116158e-152,27.1730678135486
"Energy",1.24291275932551,0.112893263412396,11.009627339633,4.15087015946429e-28,3.46569350835127
"Speechiness",-1.52374788270619,0.156480982779419,-9.7375914672911,2.34214724572716e-22,0.217893714618152
"Acousticness",0.164062943467994,0.0795710705323368,2.06184160110452,0.039235959634491,1.17828847832178
"Instrumentalness",-2.05610884594552,0.0936125165490738,-21.9640377349289,1.19105319402396e-105,0.127950879074644
"Liveness",-0.277823138990545,0.101928064435123,-2.72567855114504,0.00642263864065641,0.757430769639396
"Valence",-0.789964678639252,0.0822944681824311,-9.59924398427427,8.99147021391797e-22,0.453860825981205
"Tempo",0.00469517568697576,0.00056778578272233,8.26927307771616,1.43281104216341e-16,1.00470621529521
"ln_Duration",0.775680510708134,0.0551962865064187,14.0531285672258,1.2136165478142e-44,2.172069741078
"ln_Days",1.69389641904784,0.0326333375056233,51.9069316387254,0,5.44063846596303
"official_videoOfficial_Video",2.09827647743888,0.0699753468125552,29.9859389487498,3.36647880138042e-193,8.15210745644664
"LicensedLicensed",0.408838101598636,0.0619228790573754,6.60237553263346,4.14979458944049e-11,1.50506803265133
