"","Res.Df","RSS","Df","Sum of Sq","F","Pr(>F)"
"1",19079,44650.0011661701,NA,NA,NA,NA
"2",19078,44647.2345275182,1,2.76663865191222,1.18219936262008,0.276922439783896
