"row_id","cooks_distance","leverage","studentized_residual"
5899,0.0111898055324789,0.00392830118908354,-6.07887825532531
13402,0.00897470216267606,0.00401690934592479,-5.38233883287794
11023,0.00881471902771759,0.00352032683866104,-5.69989564797779
13407,0.00842709488928122,0.00350193130059537,-5.58765134346226
13401,0.00820453970865782,0.00409080216904362,-5.09895237196303
13404,0.00773102723474797,0.0039650106246115,-5.02775333142986
11031,0.00737358832859344,0.00383515701824283,-4.9928653069506
13406,0.00679617502902779,0.00398850915931591,-4.69963477211727
10476,0.00633209616857561,0.00644110991077198,-3.56444077460862
11024,0.00633133077883044,0.00376401061724213,-4.6698729517672
11025,0.00611801639168015,0.00328907202706651,-4.91225365799233
13408,0.00599681957510967,0.00371382370536168,-4.57545321665682
13409,0.00508317956992398,0.00215233698222875,-5.53916994812728
11026,0.00494407756160426,0.00308886372150721,-4.55681947116953
13400,0.00457959443425883,0.00327449978879771,-4.25882795902202
9894,0.00390735937151436,0.00224691242342943,-4.7519358001884
13403,0.00354543276231252,0.00178411842163882,-5.08137514901242
12322,0.00344418835185404,0.0052843457454353,-2.90369654832101
13847,0.00291874058016901,0.00245743925649895,-3.92602651927907
13846,0.00272421701543323,0.0031150135135659,3.36743718933513
